iter	Logloss
0	0.6400801781
1	0.5976653165
2	0.5602785988
3	0.5173850695
4	0.485699947
5	0.4583882218
6	0.4334886495
7	0.4105627916
8	0.3895530179
9	0.3748857081
10	0.3592069832
11	0.3436615806
12	0.3259432713
13	0.3158024391
14	0.3061924321
15	0.2990358561
16	0.2897352443
17	0.2819565739
18	0.2761323433
19	0.2712205033
20	0.265786579
21	0.2591756536
22	0.2548383684
23	0.2511660463
24	0.2466509461
25	0.242173811
26	0.2393680022
27	0.2357526436
28	0.230922176
29	0.2282837618
30	0.2253506701
31	0.2225556433
32	0.2204921461
33	0.2174502809
34	0.2147982896
35	0.213550243
36	0.2119476736
37	0.2104492317
38	0.2092853491
39	0.2082386753
40	0.2062650455
41	0.2049158448
42	0.203233753
43	0.2020076174
44	0.2011434448
45	0.2001822285
46	0.199076939
47	0.1980623116
48	0.1972957977
49	0.1964188166
50	0.195306921
51	0.1945867045
52	0.1931512175
53	0.1922078042
54	0.1915469822
55	0.1908584842
56	0.18993385
57	0.189092396
58	0.1885231659
59	0.1881554648
60	0.1874907449
61	0.1869358862
62	0.1866511965
63	0.1861352652
64	0.185467999
65	0.184972241
66	0.1843617927
67	0.1839288114
68	0.183440209
69	0.1831128307
70	0.1827339527
71	0.182350943
72	0.1818650621
73	0.1811132544
74	0.1807278139
75	0.1801851894
76	0.1798958238
77	0.179347511
78	0.1788754103
79	0.1782640775
80	0.177884423
81	0.1775048525
82	0.1769276893
83	0.1765891902
84	0.1762406225
85	0.1759667467
86	0.1757079962
87	0.1754688195
88	0.1752974888
89	0.175064383
90	0.1745693889
91	0.1740838966
92	0.1737987918
93	0.1735450802
94	0.1734004631
95	0.1731679351
96	0.1729042608
97	0.1726007732
98	0.1723790015
99	0.1722292431
100	0.1718133541
101	0.1714183578
102	0.1711920873
103	0.1707668182
104	0.1702561196
105	0.1700190684
106	0.1697039173
107	0.1694855864
108	0.1691962202
109	0.1689916793
110	0.1686839392
111	0.1684406547
112	0.1683089931
113	0.1681054048
114	0.1678753329
115	0.1676450156
116	0.1671582406
117	0.1669882128
118	0.1667036537
119	0.1664982737
120	0.1663415243
121	0.166165249
122	0.1658610137
123	0.1656214819
124	0.1653161628
125	0.1649727006
126	0.1648320684
127	0.1645713413
128	0.164413589
129	0.1640763371
130	0.163757031
131	0.163460319
132	0.1630944791
133	0.1628257677
134	0.1626548883
135	0.1623628684
136	0.162182019
137	0.1620182089
138	0.1618769426
139	0.1616944716
140	0.1615603196
141	0.1612888297
142	0.1610843117
143	0.1608791207
144	0.1606593551
145	0.1603662789
146	0.1599235833
147	0.1597640193
148	0.1594825346
149	0.1593440156
150	0.1591430426
151	0.1589579401
152	0.1587687103
153	0.15861625
154	0.1584606336
155	0.1582666344
156	0.1577606875
157	0.1575507439
158	0.1573268172
159	0.1571359655
160	0.1569885612
161	0.1568572806
162	0.1567258144
163	0.1565913767
164	0.1564128962
165	0.1561651903
166	0.156044844
167	0.1557702705
168	0.1554135115
169	0.155253213
170	0.155185235
171	0.155039922
172	0.1548808796
173	0.1546053869
174	0.1543495285
175	0.1541417249
176	0.1539087831
177	0.1538374981
178	0.1535931038
179	0.153307126
180	0.1530512155
181	0.1528721636
182	0.1526541313
183	0.1524627495
184	0.1522524655
185	0.1519657058
186	0.1518183459
187	0.1516838386
188	0.1515306783
189	0.1512988179
190	0.1510833593
191	0.1508974125
192	0.1506922953
193	0.1505383888
194	0.150346625
195	0.1501542487
196	0.1499095897
197	0.149679785
198	0.1494871278
199	0.149355016
