iter	Passed	Remaining
0	165	33008
1	178	17676
2	189	12442
3	200	9803
4	210	8212
5	220	7134
6	231	6378
7	241	5807
8	252	5359
9	263	4998
10	273	4698
11	283	4442
12	293	4224
13	303	4036
14	313	3868
15	323	3724
16	333	3591
17	343	3470
18	352	3362
19	363	3269
20	373	3181
21	383	3100
22	392	3023
23	402	2952
24	412	2887
25	422	2825
26	432	2771
27	442	2716
28	452	2665
29	461	2617
30	471	2573
31	481	2530
32	491	2487
33	501	2448
34	511	2411
35	521	2374
36	531	2339
37	541	2306
38	550	2273
39	560	2242
40	570	2211
41	580	2182
42	589	2154
43	600	2127
44	609	2099
45	619	2074
46	629	2049
47	638	2023
48	648	1998
49	658	1974
50	667	1951
51	677	1928
52	687	1905
53	696	1884
54	706	1863
55	716	1842
56	726	1821
57	735	1801
58	745	1781
59	754	1761
60	764	1741
61	773	1722
62	783	1703
63	793	1685
64	803	1668
65	813	1651
66	823	1634
67	833	1617
68	842	1600
69	852	1583
70	862	1567
71	872	1551
72	882	1535
73	892	1519
74	902	1503
75	911	1487
76	921	1471
77	930	1455
78	940	1440
79	950	1425
80	959	1409
81	968	1394
82	978	1379
83	988	1365
84	998	1350
85	1007	1335
86	1018	1322
87	1028	1308
88	1039	1296
89	1049	1282
90	1058	1268
91	1068	1254
92	1078	1240
93	1087	1226
94	1096	1212
95	1106	1198
96	1116	1185
97	1125	1171
98	1134	1157
99	1144	1144
100	1155	1132
101	1165	1119
102	1174	1106
103	1184	1093
104	1193	1080
105	1203	1067
106	1213	1054
107	1223	1042
108	1233	1029
109	1243	1017
110	1252	1004
111	1262	991
112	1271	979
113	1281	966
114	1290	954
115	1300	941
116	1310	929
117	1320	917
118	1329	905
119	1339	893
120	1350	881
121	1360	869
122	1370	857
123	1380	845
124	1389	833
125	1399	821
126	1409	810
127	1419	798
128	1442	793
129	1452	781
130	1461	769
131	1470	757
132	1480	745
133	1490	734
134	1500	722
135	1509	710
136	1519	698
137	1529	686
138	1538	675
139	1548	663
140	1558	652
141	1568	640
142	1577	628
143	1587	617
144	1596	605
145	1606	594
146	1616	582
147	1626	571
148	1635	559
149	1645	548
150	1655	537
151	1664	525
152	1674	514
153	1684	503
154	1694	492
155	1704	480
156	1715	469
157	1724	458
158	1733	447
159	1743	435
160	1753	424
161	1763	413
162	1772	402
163	1781	391
164	1791	380
165	1801	368
166	1810	357
167	1820	346
168	1829	335
169	1839	324
170	1849	313
171	1859	302
172	1869	291
173	1878	280
174	1888	269
175	1898	258
176	1908	248
177	1918	237
178	1928	226
179	1938	215
180	1948	204
181	1958	193
182	1967	182
183	1977	171
184	1987	161
185	1998	150
186	2008	139
187	2018	128
188	2028	118
189	2038	107
190	2049	96
191	2058	85
192	2068	75
193	2077	64
194	2087	53
195	2096	42
196	2106	32
197	2116	21
198	2126	10
199	2135	0
